cpus=2
              ip-1803  [001] d.h6.   142.383797: funcgraph_entry:        0.220 us   |                              cpuacct_charge(); (ret=0x0)
              ip-1803  [001] d.h6.   142.383798: funcgraph_entry:                   |                              __cgroup_account_cputime() {
              ip-1803  [001] d.h7.   142.383798: funcgraph_entry:        0.230 us   |                                __css_rstat_updated(); (ret=0x0)
              ip-1803  [001] d.h6.   142.383798: funcgraph_exit:         0.670 us   |                              } (ret=0x0)
              ip-1803  [001] d.h6.   142.383799: funcgraph_exit:         1.600 us   |                            } (ret=0xf7d0)
              ip-1803  [001] d.h6.   142.383799: funcgraph_entry:                   |                            dl_server_update() {
              ip-1803  [001] d.h6.   142.383799: funcgraph_entry:        0.230 us   |                              update_curr_dl_se(); (ret=0x0)
              ip-1803  [001] d.h6.   142.383800: funcgraph_exit:         0.680 us   |                            } (ret=0x0)
              ip-1803  [001] d.h6.   142.383800: funcgraph_exit:         2.970 us   |                          } (ret=0x0)
              ip-1803  [001] d.h6.   142.383800: funcgraph_entry:                   |                          update_curr() {
              ip-1803  [001] d.h6.   142.383800: funcgraph_entry:        0.210 us   |                            update_se(); (ret=0x0)
              ip-1803  [001] d.h6.   142.383801: funcgraph_exit:         0.660 us   |                          } (ret=0x0)
              ip-1803  [001] d.h6.   142.383801: funcgraph_entry:        0.310 us   |                          __update_load_avg_se(); (ret=0x1)
              ip-1803  [001] d.h6.   142.383802: funcgraph_entry:        0.230 us   |                          __update_load_avg_cfs_rq(); (ret=0x0)
              ip-1803  [001] d.h6.   142.383802: funcgraph_entry:        0.280 us   |                          account_llc_enqueue(); (ret=0x0)
              ip-1803  [001] d.h6.   142.383803: funcgraph_entry:                   |                          update_curr() {
              ip-1803  [001] d.h6.   142.383803: funcgraph_entry:        0.220 us   |                            update_se(); (ret=0xf7d0)
              ip-1803  [001] d.h6.   142.383803: funcgraph_exit:         0.670 us   |                          } (ret=0x0)
              ip-1803  [001] d.h6.   142.383804: funcgraph_entry:        0.230 us   |                          __update_load_avg_se(); (ret=0x0)
              ip-1803  [001] d.h6.   142.383804: funcgraph_entry:        0.210 us   |                          __update_load_avg_cfs_rq(); (ret=0x0)
              ip-1803  [001] d.h6.   142.383805: funcgraph_entry:                   |                          calc_concur_shares() {
              ip-1803  [001] d.h6.   142.383805: funcgraph_entry:        0.200 us   |                            tg_cpus(); (ret=0x2)
              ip-1803  [001] d.h6.   142.383805: funcgraph_entry:        0.210 us   |                            __calc_smp_shares(); (ret=0xa8da5)
              ip-1803  [001] d.h6.   142.383806: funcgraph_exit:         1.120 us   |                          } (ret=0xa8da5)
              ip-1803  [001] d.h6.   142.383806: funcgraph_entry:        0.230 us   |                          reweight_entity(); (ret=0x0)
              ip-1803  [001] d.h6.   142.383806: funcgraph_entry:                   |                          update_curr() {
              ip-1803  [001] d.h6.   142.383807: funcgraph_entry:        0.210 us   |                            update_se(); (ret=0xf7d0)
              ip-1803  [001] d.h6.   142.383807: funcgraph_exit:         0.650 us   |                          } (ret=0x0)
              ip-1803  [001] d.h6.   142.383807: funcgraph_entry:        0.220 us   |                          __update_load_avg_se(); (ret=0x0)
              ip-1803  [001] d.h6.   142.383808: funcgraph_entry:        0.220 us   |                          __update_load_avg_cfs_rq(); (ret=0x0)
              ip-1803  [001] d.h6.   142.383808: funcgraph_entry:                   |                          calc_concur_shares() {
              ip-1803  [001] d.h6.   142.383808: funcgraph_entry:        0.210 us   |                            tg_cpus(); (ret=0x2)
              ip-1803  [001] d.h6.   142.383809: funcgraph_entry:        0.210 us   |                            __calc_smp_shares(); (ret=0x90d84)
              ip-1803  [001] d.h6.   142.383809: funcgraph_exit:         1.110 us   |                          } (ret=0x90d84)
              ip-1803  [001] d.h6.   142.383810: funcgraph_entry:        0.230 us   |                          reweight_entity(); (ret=0x0)
              ip-1803  [001] d.h6.   142.383810: funcgraph_entry:                   |                          update_curr() {
              ip-1803  [001] d.h6.   142.383810: funcgraph_entry:        0.210 us   |                            update_se(); (ret=0xf7d0)
              ip-1803  [001] d.h6.   142.383811: funcgraph_exit:         0.650 us   |                          } (ret=0x0)
              ip-1803  [001] d.h6.   142.383811: funcgraph_entry:        0.220 us   |                          __update_load_avg_se(); (ret=0x0)
              ip-1803  [001] d.h6.   142.383811: funcgraph_entry:        0.210 us   |                          __update_load_avg_cfs_rq(); (ret=0x0)
              ip-1803  [001] d.h6.   142.383812: funcgraph_entry:                   |                          calc_concur_shares() {
              ip-1803  [001] d.h6.   142.383812: funcgraph_entry:        0.210 us   |                            tg_cpus(); (ret=0x2)
              ip-1803  [001] d.h6.   142.383813: funcgraph_entry:        0.210 us   |                            __calc_smp_shares(); (ret=0x86bfc)
              ip-1803  [001] d.h6.   142.383813: funcgraph_exit:         1.170 us   |                          } (ret=0x86bfc)
              ip-1803  [001] d.h6.   142.383813: funcgraph_entry:        0.210 us   |                          reweight_entity(); (ret=0x0)
              ip-1803  [001] d.h6.   142.383814: funcgraph_entry:        0.210 us   |                          reweight_eevdf(); (ret=0x0)
              ip-1803  [001] d.h6.   142.383814: funcgraph_entry:                   |                          place_entity() {
              ip-1803  [001] d.h6.   142.383814: funcgraph_entry:        0.210 us   |                            avg_vruntime(); (ret=0x26f4a4e2f)
              ip-1803  [001] d.h6.   142.383815: funcgraph_exit:         0.660 us   |                          } (ret=0x0)
              ip-1803  [001] d.h6.   142.383815: funcgraph_entry:                   |                          __enqueue_entity() {
              ip-1803  [001] d.h6.   142.383815: funcgraph_entry:        0.230 us   |                            min_vruntime_cb_rotate(); (ret=0x0)
              ip-1803  [001] d.h6.   142.383816: funcgraph_exit:         0.760 us   |                          } (ret=0x0)
              ip-1803  [001] d.h6.   142.383816: funcgraph_entry:        0.210 us   |                          hrtimer_active(); (ret=0x1)
              ip-1803  [001] d.h6.   142.383816: funcgraph_exit:       + 19.980 us  |                        } (ret=0x0)
              ip-1803  [001] d.h6.   142.383817: funcgraph_entry:                   |                        psi_task_change() {
              ip-1803  [001] d.h6.   142.383817: funcgraph_entry:        0.210 us   |                          psi_flags_change(); (ret=0x0)
              ip-1803  [001] d.h6.   142.383818: funcgraph_entry:                   |                          psi_group_change() {
